"","participant","figure2","agegroup","textbox_comp.text","Type","Time","total_ss_answer","label2","type","accurate"
"10855","523872","resources/real_fg_memory_images/fg15.jpg","Older",7,"artificial","Pre",22,"None",NA,NA
"10856","523872","resources/real_fg_memory_images/fg15.jpg","Older",7,"artificial","Post",22,"None",NA,NA
"10857","523872","resources/real_fg_memory_images/fg16.jpg","Older",7,"artificial","Pre",22,"None",NA,NA
"10858","523872","resources/real_fg_memory_images/fg16.jpg","Older",8,"artificial","Post",22,"None",NA,NA
"10859","523872","resources/real_fg_memory_images/fg17.jpg","Older",8,"artificial","Post",22,"None",NA,NA
"10860","523872","resources/real_fg_memory_images/fg17.jpg","Older",7,"artificial","Pre",22,"None",NA,NA
"10861","523872","resources/real_fg_memory_images/fg18.jpg","Older",8,"artificial","Pre",22,"None",NA,NA
"10862","523872","resources/real_fg_memory_images/fg18.jpg","Older",7,"artificial","Post",22,"None",NA,NA
"10863","523872","resources/real_fg_memory_images/fg2.jpg","Older",7,"artificial","Post",22,"Scam","artificial",0
"10864","523872","resources/real_fg_memory_images/fg2.jpg","Older",8,"artificial","Pre",22,"Scam","artificial",0
"10865","523872","resources/real_fg_memory_images/fg3.jpg","Older",5,"artificial","Pre",22,"Scam","artificial",1
"10866","523872","resources/real_fg_memory_images/fg3.jpg","Older",6,"artificial","Post",22,"Scam","artificial",1
"10867","523872","resources/real_fg_memory_images/fg4.jpg","Older",7,"artificial","Post",22,"Scam","artificial",1
"10868","523872","resources/real_fg_memory_images/fg4.jpg","Older",5,"artificial","Pre",22,"Scam","artificial",1
"10869","523872","resources/real_fg_memory_images/fg5.jpg","Older",5,"artificial","Pre",22,"Scam","artificial",1
"10870","523872","resources/real_fg_memory_images/fg5.jpg","Older",7,"artificial","Post",22,"Scam","artificial",1
"10871","523872","resources/real_fg_memory_images/fg6.jpg","Older",6,"artificial","Post",22,"Scam","artificial",1
"10872","523872","resources/real_fg_memory_images/fg6.jpg","Older",9,"artificial","Pre",22,"Scam","artificial",1
"10873","523872","resources/real_fg_memory_images/fg7.jpg","Older",7,"artificial","Pre",22,"Neutral","artificial",0
"10874","523872","resources/real_fg_memory_images/fg7.jpg","Older",7,"artificial","Post",22,"Neutral","artificial",0
"10875","523872","resources/real_fg_memory_images/fg8.jpg","Older",5,"artificial","Pre",22,"Neutral","artificial",1
"10876","523872","resources/real_fg_memory_images/fg8.jpg","Older",7,"artificial","Post",22,"Neutral","artificial",1
"10877","523872","resources/real_fg_memory_images/fg9.jpg","Older",6,"artificial","Pre",22,"Neutral","artificial",0
"10878","523872","resources/real_fg_memory_images/fg9.jpg","Older",7,"artificial","Post",22,"Neutral","artificial",0
"10879","523872","resources/real_fg_memory_images/orig19.jpg","Older",7,"real","Post",22,"Scam","real",1
"10880","523872","resources/real_fg_memory_images/orig19.jpg","Older",7,"real","Pre",22,"Scam","real",1
"10881","523872","resources/real_fg_memory_images/orig20.jpg","Older",6,"real","Post",22,"Scam","real",1
"10882","523872","resources/real_fg_memory_images/orig20.jpg","Older",4,"real","Pre",22,"Scam","real",1
"10883","523872","resources/real_fg_memory_images/orig21.jpg","Older",6,"real","Pre",22,"Scam","real",0
"10884","523872","resources/real_fg_memory_images/orig21.jpg","Older",6,"real","Post",22,"Scam","real",0
"10885","523872","resources/real_fg_memory_images/orig22.jpg","Older",7,"real","Post",22,"Scam","real",1
"10886","523872","resources/real_fg_memory_images/orig22.jpg","Older",8,"real","Pre",22,"Scam","real",1
"10887","523872","resources/real_fg_memory_images/orig23.jpg","Older",7,"real","Post",22,"Scam","real",1
"10888","523872","resources/real_fg_memory_images/orig23.jpg","Older",8,"real","Pre",22,"Scam","real",1
"10889","523872","resources/real_fg_memory_images/orig24.jpg","Older",8,"real","Pre",22,"Scam","real",0
"10890","523872","resources/real_fg_memory_images/orig24.jpg","Older",8,"real","Post",22,"Scam","real",0
"10891","523872","resources/real_fg_memory_images/orig25.jpg","Older",7,"real","Pre",22,"Neutral","real",0
"10892","523872","resources/real_fg_memory_images/orig25.jpg","Older",8,"real","Post",22,"Neutral","real",0
"10893","523872","resources/real_fg_memory_images/orig26.jpg","Older",6,"real","Post",22,"Neutral","real",0
"10894","523872","resources/real_fg_memory_images/orig26.jpg","Older",8,"real","Pre",22,"Neutral","real",0
"10895","523872","resources/real_fg_memory_images/orig27.jpg","Older",8,"real","Post",22,"Neutral","real",1
"10896","523872","resources/real_fg_memory_images/orig27.jpg","Older",6,"real","Pre",22,"Neutral","real",1
"10897","523872","resources/real_fg_memory_images/orig28.jpg","Older",8,"real","Post",22,"Neutral","real",0
"10898","523872","resources/real_fg_memory_images/orig28.jpg","Older",6,"real","Pre",22,"Neutral","real",0
"10899","523872","resources/real_fg_memory_images/orig29.jpg","Older",7,"real","Pre",22,"Neutral","real",0
"10900","523872","resources/real_fg_memory_images/orig29.jpg","Older",8,"real","Post",22,"Neutral","real",0
"10901","523872","resources/real_fg_memory_images/orig30.jpg","Older",8,"real","Pre",22,"Neutral","real",0
"10902","523872","resources/real_fg_memory_images/orig30.jpg","Older",7,"real","Post",22,"Neutral","real",0
"10903","523872","resources/real_fg_memory_images/orig31.jpg","Older",7,"real","Post",22,"None",NA,NA
"10904","523872","resources/real_fg_memory_images/orig31.jpg","Older",6,"real","Pre",22,"None",NA,NA
"10905","523872","resources/real_fg_memory_images/orig32.jpg","Older",8,"real","Pre",22,"None",NA,NA
